example_id,task_depth,loop,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,final_margin
train-004648-83c40a180d9a4f56,1,1,N,N,True,N,True,False,8.438896179199219
train-003737-09a01dcef225297d,2,1,Y,Y,True,F,False,False,-9.38519287109375
train-003737-09a01dcef225297d,2,2,Q,F,False,F,False,False,-0.5787925720214844
train-004714-99115a41384001ee,3,1,Y,Y,True,S,False,False,-10.244007110595703
train-004714-99115a41384001ee,3,2,Y,H,False,S,False,False,-0.7480134963989258
train-004714-99115a41384001ee,3,3,S,S,True,S,True,False,0.13313674926757812
train-004891-b2f1a70a4c6c3784,4,1,F,F,True,L,False,False,-9.019582748413086
train-004891-b2f1a70a4c6c3784,4,2,V,K,False,L,False,False,-2.2576284408569336
train-004891-b2f1a70a4c6c3784,4,3,N,N,True,L,False,False,-1.225015640258789
train-004891-b2f1a70a4c6c3784,4,4,C,L,False,L,False,False,-1.3040046691894531
train-007056-0d586e67cbcb5a15,1,1,O,O,True,O,True,False,8.814631462097168
train-006137-38ccadb94faafdaf,2,1,B,B,True,H,False,False,-8.810962677001953
train-006137-38ccadb94faafdaf,2,2,E,H,False,H,False,False,-0.7610263824462891
train-009610-03e8ef1029de4aa6,3,1,P,P,True,A,False,False,-9.72452163696289
train-009610-03e8ef1029de4aa6,3,2,H,N,False,A,False,False,-2.2759342193603516
train-009610-03e8ef1029de4aa6,3,3,H,A,False,A,False,False,-1.401606559753418
train-008107-c0d6d6d612978307,4,1,Q,Q,True,D,False,False,-10.902322769165039
train-008107-c0d6d6d612978307,4,2,V,V,True,D,False,False,-1.904911994934082
train-008107-c0d6d6d612978307,4,3,V,E,False,D,False,False,-1.1423063278198242
train-008107-c0d6d6d612978307,4,4,V,D,False,D,False,False,-0.9620904922485352
train-002000-ae67e35d9855b2c4,1,1,P,P,True,P,True,False,5.08445930480957
train-000641-68f09a70cc19d59d,2,1,B,B,True,U,False,False,-11.897002220153809
train-000641-68f09a70cc19d59d,2,2,J,U,False,U,False,False,-1.6180620193481445
train-001314-b166b2b679c9e4ea,3,1,Q,Q,True,A,False,False,-10.197283744812012
train-001314-b166b2b679c9e4ea,3,2,Q,V,False,A,False,False,-1.826211929321289
train-001314-b166b2b679c9e4ea,3,3,Q,A,False,A,False,False,-1.2613544464111328
train-005939-182e2b650f37d23e,4,1,F,F,True,D,False,False,-8.516741752624512
