example_id,task_depth,loop,split,seed,family,initial_state,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,intermediate_loss,intermediate_margin,final_margin
train-007784-617a2c600ec4e3a3,1,1,train,7023975359913976739,pointer,B,M,M,True,M,True,False,0.000962151971179992,7.692344665527344,7.692344665527344
train-004489-65c0020ea520dc92,2,1,train,7331862455282359442,pointer,B,P,P,True,K,False,False,3.123234637314454e-05,11.800930976867676,-15.428326606750488
train-004489-65c0020ea520dc92,2,2,train,7331862455282359442,pointer,B,K,K,True,K,True,False,0.00014804698002990335,10.804696083068848,10.804696083068848
train-003450-00e626c020401ca6,3,1,train,64781851260099750,pointer,T,G,G,True,V,False,False,2.264974000354414e-06,13.909168243408203,-19.14555263519287
train-003450-00e626c020401ca6,3,2,train,64781851260099750,pointer,T,Z,Z,True,V,False,False,0.0008909308817237616,7.547428131103516,-14.101959228515625
train-003450-00e626c020401ca6,3,3,train,64781851260099750,pointer,T,V,V,True,V,True,False,0.001210909802466631,8.192498207092285,8.192498207092285
train-006571-80d4ec6e2c52b48c,4,1,train,9283304689851610252,pointer,L,X,X,True,B,False,False,8.344646857949556e-07,15.856168746948242,-17.381284713745117
train-006571-80d4ec6e2c52b48c,4,2,train,9283304689851610252,pointer,L,G,G,True,B,False,False,0.00018535325943958014,9.710979461669922,-11.784591674804688
train-006571-80d4ec6e2c52b48c,4,3,train,9283304689851610252,pointer,L,S,S,True,B,False,False,0.00011240804451517761,11.404175758361816,-11.404175758361816
train-006571-80d4ec6e2c52b48c,4,4,train,9283304689851610252,pointer,L,B,B,True,B,True,False,0.012799962423741817,5.419281959533691,5.419281959533691
train-009368-248d6f593a53b386,1,1,train,2633883786102944646,pointer,M,U,U,True,U,True,False,5.781483559985645e-05,10.288751602172852,10.288751602172852
train-007337-544cdf598339848d,2,1,train,6074475572962624653,pointer,Q,S,S,True,C,False,False,8.868777513271198e-05,10.341541290283203,-11.288285255432129
train-007337-544cdf598339848d,2,2,train,6074475572962624653,pointer,Q,C,C,True,C,True,False,0.00025733973598107696,9.42441177368164,9.42441177368164
train-007962-a45560a716f6803b,3,1,train,11841477066001645627,pointer,K,T,T,True,N,False,False,2.634490556374658e-05,11.625480651855469,-14.42298412322998
train-007962-a45560a716f6803b,3,2,train,11841477066001645627,pointer,K,D,D,True,N,False,False,8.999896090244874e-05,11.312257766723633,-12.683357238769531
train-007962-a45560a716f6803b,3,3,train,11841477066001645627,pointer,K,N,N,True,N,True,False,0.0015460216673091054,6.551475524902344,6.551475524902344
train-005771-32d4e4dc90a4581a,4,1,train,3662804032929683482,pointer,D,T,T,True,P,False,False,2.90866428258596e-05,11.685150146484375,-14.052973747253418
train-005771-32d4e4dc90a4581a,4,2,train,3662804032929683482,pointer,D,Y,Y,True,P,False,False,0.00021991695393808186,10.074402809143066,-11.311920166015625
train-005771-32d4e4dc90a4581a,4,3,train,3662804032929683482,pointer,D,B,B,True,P,False,False,0.0003885467885993421,9.113495826721191,-10.90903377532959
train-005771-32d4e4dc90a4581a,4,4,train,3662804032929683482,pointer,D,P,P,True,P,True,False,0.12449130415916443,3.363722801208496,3.363722801208496
train-003584-dcb0ab56c4bed25a,1,1,train,15902398673401598554,pointer,T,F,F,True,F,True,False,2.5033637939486653e-05,12.091398239135742,12.091398239135742
train-002065-d4932c6763ee63b0,2,1,train,15317635580187009968,pointer,G,P,P,True,T,False,False,9.536738616588991e-07,15.653717041015625,-16.20301342010498
train-002065-d4932c6763ee63b0,2,2,train,15317635580187009968,pointer,G,T,T,True,T,True,False,0.00037698791129514575,8.073564529418945,8.073564529418945
train-001642-6899983b3808643c,3,1,train,7537222831491802172,pointer,R,D,D,True,J,False,False,3.576214658096433e-05,10.893468856811523,-16.008307456970215
train-001642-6899983b3808643c,3,2,train,7537222831491802172,pointer,R,F,F,True,J,False,False,0.0004009396652691066,9.800114631652832,-12.677681922912598
train-001642-6899983b3808643c,3,3,train,7537222831491802172,pointer,R,J,J,True,J,True,False,0.00029297350556589663,9.066621780395508,9.066621780395508
train-001131-c8e52f8b477ff1f2,4,1,train,14476028852498854386,pointer,E,G,G,True,R,False,False,6.794906312279636e-06,12.681612014770508,-16.6259708404541
train-001131-c8e52f8b477ff1f2,4,2,train,14476028852498854386,pointer,E,Y,Y,True,R,False,False,0.00017617580306250602,9.939236640930176,-12.37723159790039
train-001131-c8e52f8b477ff1f2,4,3,train,14476028852498854386,pointer,E,B,B,True,R,False,False,0.00027426297310739756,9.315560340881348,-12.733704566955566
train-001131-c8e52f8b477ff1f2,4,4,train,14476028852498854386,pointer,E,R,R,True,R,True,False,0.007446982432156801,5.762022972106934,5.762022972106934
train-001032-d09d350cd6983b6a,1,1,train,15032229460488764266,pointer,V,J,J,True,J,True,False,2.264974000354414e-06,14.807838439941406,14.807838439941406
train-006793-0e761e6229b053d6,2,1,train,1042053770737898454,pointer,J,N,N,True,M,False,False,9.059865078597795e-06,12.569475173950195,-12.569475173950195
train-006793-0e761e6229b053d6,2,2,train,1042053770737898454,pointer,J,M,M,True,M,True,False,8.630380034446716e-05,10.983624458312988,10.983624458312988
train-001802-d91f5772d1b2cced,3,1,train,15645319781164436717,pointer,U,I,I,True,P,False,False,1.3947389561508317e-05,11.622753143310547,-16.978918075561523
train-001802-d91f5772d1b2cced,3,2,train,15645319781164436717,pointer,U,Y,Y,True,P,False,False,6.329813186312094e-05,10.663717269897461,-10.663717269897461
train-001802-d91f5772d1b2cced,3,3,train,15645319781164436717,pointer,U,P,P,True,P,True,False,1.1324817933200393e-05,13.287530899047852,13.287530899047852
train-007571-8e793e79f69aa0c6,4,1,train,10266305519117050054,pointer,H,G,G,True,C,False,False,3.814689989667386e-06,14.076944351196289,-14.269989967346191
train-007571-8e793e79f69aa0c6,4,2,train,10266305519117050054,pointer,H,N,N,True,C,False,False,6.115249561844394e-05,11.415095329284668,-13.01107120513916
train-007571-8e793e79f69aa0c6,4,3,train,10266305519117050054,pointer,H,B,B,True,C,False,False,0.00017093151109293103,10.241418838500977,-10.241418838500977
train-007571-8e793e79f69aa0c6,4,4,train,10266305519117050054,pointer,H,C,C,True,C,True,False,0.002412268426269293,7.532485008239746,7.532485008239746
