example_id,task_depth,loop,split,seed,family,initial_state,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,intermediate_loss,intermediate_margin,final_margin
train-018918-8d17cf9df281e85e,1,1,train,10166822961097599070,pointer,X,E,E,True,E,True,False,0.0009091534884646535,7.009845733642578,7.009845733642578
train-018918-8d17cf9df281e85e,1,2,train,10166822961097599070,pointer,X,A,,,E,False,True,,,-15.728090286254883
train-018918-8d17cf9df281e85e,1,3,train,10166822961097599070,pointer,X,D,,,E,False,True,,,-14.827802658081055
train-018918-8d17cf9df281e85e,1,4,train,10166822961097599070,pointer,X,O,,,E,False,True,,,-12.281379699707031
train-011449-90418c24029556d7,2,1,train,10394743501237868247,pointer,W,Z,Z,True,J,False,False,1.311301275563892e-06,14.798687934875488,-16.090702056884766
train-011449-90418c24029556d7,2,2,train,10394743501237868247,pointer,W,J,J,True,J,True,False,1.1920922133867862e-06,14.529413223266602,14.529413223266602
train-011449-90418c24029556d7,2,3,train,10394743501237868247,pointer,W,A,,,J,False,True,,,-17.785698413848877
train-011449-90418c24029556d7,2,4,train,10394743501237868247,pointer,W,M,,,J,False,True,,,-15.570450782775879
train-004340-eb54913a1a4ca33b,3,1,train,16957338175692120891,pointer,U,M,M,True,L,False,False,9.536738616588991e-07,15.058309555053711,-15.443277359008789
train-004340-eb54913a1a4ca33b,3,2,train,16957338175692120891,pointer,U,R,R,True,L,False,False,5.960462772236497e-07,15.231919288635254,-15.231919288635254
train-004340-eb54913a1a4ca33b,3,3,train,16957338175692120891,pointer,U,L,L,True,L,True,False,7.617183291586116e-05,10.778239250183105,10.778239250183105
train-004340-eb54913a1a4ca33b,3,4,train,16957338175692120891,pointer,U,R,,,L,False,True,,,-11.377812385559082
train-019899-f91350f60647baa1,4,1,train,17947777957599099553,pointer,B,T,T,True,D,False,False,3.576278118089249e-07,16.355981826782227,-16.355981826782227
train-019899-f91350f60647baa1,4,2,train,17947777957599099553,pointer,B,O,O,True,D,False,False,2.6702524337451905e-05,11.74203109741211,-14.032118797302246
train-019899-f91350f60647baa1,4,3,train,17947777957599099553,pointer,B,X,X,True,D,False,False,1.311301275563892e-06,15.5894193649292,-16.11417579650879
train-019899-f91350f60647baa1,4,4,train,17947777957599099553,pointer,B,D,D,True,D,True,False,2.13382354559144e-05,12.306742668151855,12.306742668151855
train-002386-e88ec56ac7c0bf5c,5,1,train,16757548325900697436,pointer,S,Q,Q,True,T,False,False,3.576278118089249e-07,16.549721717834473,-17.784160614013672
train-002386-e88ec56ac7c0bf5c,5,2,train,16757548325900697436,pointer,S,J,J,True,T,False,False,1.9073468138230965e-06,14.938375473022461,-15.674241065979004
train-002386-e88ec56ac7c0bf5c,5,3,train,16757548325900697436,pointer,S,O,O,True,T,False,False,8.583032467868179e-06,13.035554885864258,-15.58281421661377
train-002386-e88ec56ac7c0bf5c,5,4,train,16757548325900697436,pointer,S,Y,Y,True,T,False,False,0.00028010259848088026,9.173534393310547,-12.110097885131836
train-002386-e88ec56ac7c0bf5c,5,5,train,16757548325900697436,pointer,S,T,T,True,T,True,False,0.00010430268594063818,10.84160041809082,10.84160041809082
train-002386-e88ec56ac7c0bf5c,5,6,train,16757548325900697436,pointer,S,U,,,T,False,True,,,-12.017831325531006
train-028313-f2c96a0932a86a65,6,1,train,17494630815234550373,pointer,S,W,W,True,J,False,False,5.125986263010418e-06,13.589089393615723,-16.51094341278076
train-028313-f2c96a0932a86a65,6,2,train,17494630815234550373,pointer,S,Y,Y,True,J,False,False,3.71926071238704e-05,11.533791542053223,-14.132834434509277
train-028313-f2c96a0932a86a65,6,3,train,17494630815234550373,pointer,S,H,H,True,J,False,False,7.283422019099817e-05,11.107698440551758,-15.054343700408936
train-028313-f2c96a0932a86a65,6,4,train,17494630815234550373,pointer,S,V,V,True,J,False,False,2.1457441107486375e-05,12.830490112304688,-14.950342178344727
train-028313-f2c96a0932a86a65,6,5,train,17494630815234550373,pointer,S,Z,Z,True,J,False,False,3.158996332786046e-05,11.995153427124023,-12.305403709411621
train-028313-f2c96a0932a86a65,6,6,train,17494630815234550373,pointer,S,J,J,True,J,True,False,2.2411095415009186e-05,12.540534019470215,12.540534019470215
train-004470-44a976e52705ae16,1,1,train,4947616392217472534,pointer,X,Y,Y,True,Y,True,False,4.291525328881107e-06,14.0844087600708,14.0844087600708
train-004470-44a976e52705ae16,1,2,train,4947616392217472534,pointer,X,R,,,Y,False,True,,,-19.60279941558838
train-004470-44a976e52705ae16,1,3,train,4947616392217472534,pointer,X,B,,,Y,False,True,,,-18.801289558410645
train-004470-44a976e52705ae16,1,4,train,4947616392217472534,pointer,X,E,,,Y,False,True,,,-16.425745964050293
train-004470-44a976e52705ae16,1,5,train,4947616392217472534,pointer,X,K,,,Y,False,True,,,-13.923379898071289
train-004470-44a976e52705ae16,1,6,train,4947616392217472534,pointer,X,Q,,,Y,False,True,,,-13.896186828613281
train-015625-98a52c7d035fd65e,2,1,train,10999246580361451102,pointer,O,L,L,True,N,False,False,2.3841830625315197e-06,14.348443984985352,-17.584274291992188
train-015625-98a52c7d035fd65e,2,2,train,10999246580361451102,pointer,O,N,N,True,N,True,False,3.2186455882765586e-06,14.045428276062012,14.045428276062012
train-015625-98a52c7d035fd65e,2,3,train,10999246580361451102,pointer,O,I,,,N,False,True,,,-15.69702959060669
train-015625-98a52c7d035fd65e,2,4,train,10999246580361451102,pointer,O,T,,,N,False,True,,,-15.270134925842285
train-015625-98a52c7d035fd65e,2,5,train,10999246580361451102,pointer,O,S,,,N,False,True,,,-12.683442115783691
train-015625-98a52c7d035fd65e,2,6,train,10999246580361451102,pointer,O,A,,,N,False,True,,,-12.471511840820312
train-017756-9fd27179430b08f9,3,1,train,11516391962769557753,pointer,V,T,T,True,E,False,False,1.2397689715726301e-05,13.268472671508789,-15.881250381469727
train-017756-9fd27179430b08f9,3,2,train,11516391962769557753,pointer,V,O,O,True,E,False,False,5.483612312673358e-06,13.968768119812012,-14.871846199035645
train-017756-9fd27179430b08f9,3,3,train,11516391962769557753,pointer,V,E,E,True,E,True,False,3.2186455882765586e-06,14.132184982299805,14.132184982299805
train-017756-9fd27179430b08f9,3,4,train,11516391962769557753,pointer,V,J,,,E,False,True,,,-17.575562477111816
train-017756-9fd27179430b08f9,3,5,train,11516391962769557753,pointer,V,Q,,,E,False,True,,,-12.900358200073242
