example_id,task_depth,loop,split,seed,family,initial_state,prediction,intermediate_target,intermediate_correct,final_target,final_correct,post_completion,intermediate_loss,intermediate_margin,final_margin
train-007784-617a2c600ec4e3a3,1,1,train,7023975359913976739,pointer,B,M,M,True,M,True,False,2.0146166207268834e-05,11.872359275817871,11.872359275817871
train-004489-65c0020ea520dc92,2,1,train,7331862455282359442,pointer,B,P,P,True,K,False,False,1.4185804502631072e-05,12.25931453704834,-15.179100036621094
train-004489-65c0020ea520dc92,2,2,train,7331862455282359442,pointer,B,K,K,True,K,True,False,6.711257447022945e-05,11.483160018920898,11.483160018920898
train-003450-00e626c020401ca6,3,1,train,64781851260099750,pointer,T,G,G,True,V,False,False,5.018585216021165e-05,10.82917308807373,-16.427054405212402
train-003450-00e626c020401ca6,3,2,train,64781851260099750,pointer,T,Z,Z,True,V,False,False,0.00036090059438720345,9.228310585021973,-11.565303802490234
train-003450-00e626c020401ca6,3,3,train,64781851260099750,pointer,T,V,V,True,V,True,False,0.002007613657042384,7.08799934387207,7.08799934387207
train-006571-80d4ec6e2c52b48c,4,1,train,9283304689851610252,pointer,L,X,X,True,B,False,False,5.960446742392378e-06,13.909002304077148,-15.85224723815918
train-006571-80d4ec6e2c52b48c,4,2,train,9283304689851610252,pointer,L,G,G,True,B,False,False,0.00070296844933182,8.55051040649414,-10.418709754943848
train-006571-80d4ec6e2c52b48c,4,3,train,9283304689851610252,pointer,L,S,S,True,B,False,False,1.6569954823353328e-05,13.119333267211914,-14.053467750549316
train-006571-80d4ec6e2c52b48c,4,4,train,9283304689851610252,pointer,L,B,B,True,B,True,False,4.935142715112306e-05,10.917398452758789,10.917398452758789
train-000548-a9abf14b34a55ca9,5,1,train,12226130918735436969,pointer,Y,N,N,True,A,False,False,4.529942543740617e-06,13.614648818969727,-14.60146427154541
train-000548-a9abf14b34a55ca9,5,2,train,12226130918735436969,pointer,Y,K,K,True,A,False,False,0.00025090406415984035,9.843273162841797,-10.902416229248047
train-000548-a9abf14b34a55ca9,5,3,train,12226130918735436969,pointer,Y,I,I,True,A,False,False,3.838465272565372e-05,11.853669166564941,-11.853669166564941
train-000548-a9abf14b34a55ca9,5,4,train,12226130918735436969,pointer,Y,G,G,True,A,False,False,0.000341476290486753,10.229952812194824,-10.4727144241333
train-000548-a9abf14b34a55ca9,5,5,train,12226130918735436969,pointer,Y,A,A,True,A,True,False,1.7523612768854946e-05,12.15217113494873,12.15217113494873
train-003293-14ac541a61b6ed66,6,1,train,1489658049038052710,pointer,N,U,U,True,F,False,False,1.2397689715726301e-05,12.773635864257812,-15.633488655090332
train-003293-14ac541a61b6ed66,6,2,train,1489658049038052710,pointer,N,W,W,True,F,False,False,5.9602869441732764e-05,10.457502365112305,-13.25444221496582
train-003293-14ac541a61b6ed66,6,3,train,1489658049038052710,pointer,N,Q,Q,True,F,False,False,0.00016485285595990717,10.994083404541016,-12.347076416015625
train-003293-14ac541a61b6ed66,6,4,train,1489658049038052710,pointer,N,H,H,True,F,False,False,0.00024339574156329036,10.129938125610352,-11.343154907226562
train-003293-14ac541a61b6ed66,6,5,train,1489658049038052710,pointer,N,D,D,True,F,False,False,0.00019095504831057042,10.637371063232422,-11.054317474365234
train-003293-14ac541a61b6ed66,6,6,train,1489658049038052710,pointer,N,F,F,True,F,True,False,3.3854863431770355e-05,10.830184936523438,10.830184936523438
